STRING,OUTCOME
HGEBABFGDDFJHFEFBDDJ,NO
EIGDBHCCJF,NO
GHEBJJAG,NO
IHCIEAEHIBD,NO
GFDCHECFHCBEH,NO
IAHIAEFBAGCBCHDJ,NO
BEIJEAABA,NO
ADCCFHJCADDDB,NO
BFFDFFIEJJH,NO
BFHEDDJ,NO
DBBFBD,NO
AJCCBFAAADJF,NO
HJDDIGDICGA,NO
DIAEIHEEEGIJFDEEGE,NO
AHBFHI,NO
IEIBCIFDGAG,NO
IIDADGJFFDGCHDIFIH,NO
JBFFCIBEICJAEFJID,NO
JCECDF,NO
CCFDAI,NO
FCFAHEBEIAGEDGIIIAD,NO
CHIFHAAJDFJDBGD,NO
DHCHHIGCCHBD,NO
CFDDJFICG,NO
JDHJHCDCJ,NO
HADGEGJJBHGDG,STEAL
GDFBBBCAFBIAJJA,NO
IAJCGBDICCG,NO
GHEBJBBGACJAABHJHFBG,NO
BBCIDCBDIIJDDBDIDI,NO
GHAGAHICEJCDJIJGAH,NO
HFDJIEBBFAAFGBIE,NO
BCGEHIIECGFDHHCICA,NO
EGBHHCFDIG,NO
DDHCED,NO
AHFEBIGJFDEGBJIG,NO
BDCJEACCBBJABC,NO
JAHBJCJHJBIAJJ,NO
DCJDHDJ,NO
HAHGEAFIFJJ,NO
EDEAHJDCACBBFIBDJC,NO
IAJEIJA,NO
DEEIECADBD,NO
CIEGHHAIAJB,NO
BGCAFI,NO
EDAEBDBBBJFEIJAEB,NO
HCGBHDED,NO
ACDCIED,NO
DEJADJIGBFBAJ,NO
GDGCFBE,NO
AACAGD,NO
DAIBCICHJBB,NO
FHEIDDECEHJJGGCAHGA,NO
DIFBEHIEGABEGIAC,NO
AIDEHCI,NO
AFAEAAAGBFDJHBACAJDE,NO
DHEDDFDHDIBJBFCJAAB,NO
CEBCEHGIB,NO
CJGBJJDEICAGIFAJDJAE,NO
JBGGDBCB,NO
DAEGICCDCADGDIIA,NO
FEIBGEC,NO
GHCHFIDGDB,NO
EGDAJAHDIDEC,NO
FEHCICFBDIBCDABCGC,NO
GEFIDA,NO
JFEAHEAFFEGDHGC,NO
FJBFGHEAE,NO
DFGHBGFIJGIFBC,NO
DBJEBAIGIDH,NO
JJJFJFBAIFHHJHAGACA,NO
BCFDHJAEB,NO
EAFHGEA,NO
HEEIABBIEBEEH,NO
GBDEEEAEFAHIEGBC,NO
AHEFDEFA,NO
FJIIIABDAJDBGEH,NO
BBJAIFHGEHHFEJJCG,NO
EFAAECADGIEE,NO
CDBJFICDI,NO
JCJGHIHBBHDGAI,NO
CGCEGIFEAAJAGDBB,NO
CEFDBEGIHCJJHBHAD,STEAL
IFHFEGBDIGC,NO
EIEEFBDDFAHCBJD,NO
JFHBDEHGHJB,NO
AJECAE,NO
FIHABGBGJICFBFCFD,NO
FBDFIEIGFBBFIJHIHDFF,NO
EDCIGEGGHIJG,NO
DGBGDGDHGJBF,NO
FAIFEABEADCCCBJC,NO
FFJGGGABHIDG,NO
FJBFHDIJHCHFHEJECA,NO
FHFIBEIAC,NO
JBCABBJFICFBJDAEDCDE,NO
FCDABCIDCEIHGBJIBI,NO
EDDECIIFHDEICCBI,NO
BDIEACFJACAHGHDAGB,NO
DDIEBJFGHBHIGHI,NO
JHFAEGEAHBBHIDDHAG,NO
HFDDFC,NO
HHFBBFJHEJGHAHBHI,NO
EFDFAHFAF,NO
JGCADB,NO
BDGBAJHJBB,NO
DHIHJDHHDBC,NO
IHCGGJFAFAJAFJBEG,NO
CBFGECEJJ,NO
EBFIFDEBEDE,NO
CFIBEGGH,NO
DAIJJIBIDHGD,NO
GIFGFBEAEFE,NO
IAHJCIJBCECBCFCGFHF,NO
ADBDHBGIEEEDJJFECDA,NO
BGJGEGGBJ,NO
HJICIJBEGHHFJD,NO
EBDGGAAA,NO
IJJGAJBACIBIGBBACED,NO
HEFFIGDFAHJHIB,NO
BGCFAFGEAADA,NO
FBBAGDIIBBG,NO
JJICECA,NO
FFCCCICCJGIIEAFDDCJ,NO
FFIGHFEDF,NO
EABACIAGHDGECA,NO
EAABFAEBEFJEIA,NO
IGGHHJCEJC,NO
ICEEBDGAFBAGG,NO
EBIIHDIJIHI,NO
BFEEFJGDBAAEHFDFJC,NO
ABEFHBAF,NO
BDCEIBHEFHDCHEAGCDGJ,NO
GFEJHJ,NO
DHJCFJBDBIGBHFHFHE,NO
JCJBGJIIIF,NO
BDDIFJGDEDGBGCAGC,NO
FBGHCAEBEIIJB,NO
HFICFEAFDEHAAC,NO
HJIBGBCBCGHCCCFG,NO
CHBGJIIDGFJ,NO
DEFFGHGHGJAGEHFA,NO
DEHIBCIIAAHJBDHBJAH,NO
JHFFGAIHFFGFBHDJDBA,NO
EEBDEBAJACFHB,NO
BCEDBBEDGCFI,NO
HDIBFFCBIDF,NO
HFFGIBBFDEAHFGJFFFBH,NO
IJIGCDHIHJDFHFBBD,NO
JEBBJC,NO
IEJJFDGJICJADA,NO
FACJFIB,NO
GGEFADBBDC,NO
JDHHIHAHFHJ,NO
FFDCJA,NO
GECACJCHHIIBG,NO
GFCAFGGF,NO
HAABIFAFHBAAEEIE,NO
IJJEJFJBHJJJFAJIGEAB,NO
HAHBJIDDFHHEDGHIB,NO
GJAFIGHEHABAFFBE,NO
HFAGBFJDIBDABAIEG,NO
GEDDIBHIHGCIAC,NO
HBGGEIFBA,NO
BHCDBIIJEJBIJIIGCJHF,NO
GAJAADEAFADGCA,NO
HAEFGAGFIIH,NO
JDGEIIHHHGAAJD,NO
HBHEJJCIGJFGJAF,NO
HBEHFACIHBCG,NO
BGBCGDEBFCAEJHEF,NO
FFIGJEFJF,NO
AIIBIBHDEIEHGHJHCI,NO
AEIFDJHBIEID,NO
EDGEDGCDGAECBBJI,NO
IJIFDI,NO
IAIBFF,NO
IJIIEJBHGI,NO
CJECABFG,NO
AIFDCCHJCDBE,NO
BCHFIABHHE,NO
IAHGAIABJEIFAHHD,NO
BFBHBFACH,NO
GGGHFJHBBHDBJA,NO
CDJHECIAGAHCCA,NO
BHEBHI,NO
JFEEDDE,NO
GIHCGJICD,NO
GHHCHDGDAFB,NO
FAEBJJECBIACCB,NO
FBDCIDACJCGE,NO
EIHDHHGI,NO
EAIHABGDEJDCJD,NO
HEDHDH,NO
ACBHFHGDFIFJBCICCBCI,NO
BCHBIBIJAFGDGHICIACD,NO
FBDBEFIAGB,NO
JDJCBGJJFBGEBHI,NO
CAJAFBHAIAEDGJ,NO
BJAIFCHCAGCGCGDFEF,NO
CEDHCBHGJIE,NO
IECDGGCDIGB,NO
CJBBBHIJHJD,NO
AACDFIFFFHGCDJ,NO
DJIFFDGFGDEC,NO
FDFDBIH,NO
BFJJJECAFGGGDBJ,NO
BJCEGFGFAGEHGF,NO
DHIADGGABJJDBDHCI,NO
HECAFBJBIGFGHHIBEDCD,NO
BBDFJIGHFAH,NO
JIIAGHIAGDJABDBCEBH,NO
GDCEIFECAHHBIEGJH,NO
IJFAEJEBBDCDBCFHAFAB,NO
BGCDBBEHAG,NO
JGHBDBE,NO
EJIIEJFGE,NO
AAIDFHAFBECCHJBGGDF,NO
BJDIDAEGJA,NO
CFAACBJIADBI,NO
AABICAFBHAGB,NO
IAFDBABBCCJDBGFBJ,NO
CFAIJBFCIBIGBCEHE,NO
EDIEEDDHCECIG,NO
ACFJIHIFDGH,NO
IHADBE,STEAL
DBJHGCEFGAACJGIEAG,NO
DJIFJHJDBHH,NO
EEBAFDEEJDHABDDHEEB,NO
CAAIAGIJFHJHFH,NO
FBFEHEGBHBDCFEGDADHA,NO
AFBBCEDDGJ,NO
EJICICBBDGC,NO
DBHDHDFA,NO
ADHHFCCAJHHB,NO
CBIBGADGGAHD,NO
FBBBADAIA,NO
GJGBHIEAHCIABCCFD,NO
IDEEDCGIJIFCA,NO
HFEHCEDDG,NO
BJDJCEHHH,NO
EDFCCACAEGDDJ,NO
ACHIDJEIGHBIIEF,NO
JEGJFFBFFGJ,NO
ADHGHHAHIAGABHDEEI,NO
FCHGHGCEDIH,NO
HEFECDB,NO
DFDHHHEFGGDIIEGAGFF,NO
HBFEJJA,NO
HDDIIJFBEFI,NO
JGGJBCACIAIEBF,NO
IGGICEGEBJGF,NO
IJHIEIIICAHH,NO
BDJJBIEGFG,NO
HAJDIBBAHJCGIBFHJ,NO
BHGGBHI,NO
JJBGAAHGDIAIFADCGF,NO
BJBIBG,NO
BEFJHHGCADJGGE,NO
DCEGFAHHEJEFA,NO
ECIGACCHDIFBIBJBJF,NO
DFIHEJFFGFAGJGHFGFB,NO
DDBBGEJBABGHIAB,NO
FAJHHCBIDACAJ,NO
FCBDDGFBECAFAAH,NO
AHJAEBCIFII,NO
HFIBFIFBJGCFFD,NO
ADHGABDBDIEBGHEFH,NO
FIBCIIIGDIGHFGJ,NO
GDDHCJJBDCBFDCFBHI,NO
FAFGJF,NO
BCCCEHDIGDGCGCBH,NO
BHJGFCCHG,NO
JFEEIBBDJ,NO
AEIFBJAGHGDHF,NO
EIAGCJHHAAGDBEBAF,NO
FCHAEAAG,NO
AAACBCBCDIEBFHAGBIHE,NO
CJCCGDEGCIFGJHHHFB,NO
EAFEGHEHHDCEAIHAAFC,NO
HDCJIJECFHIBBHEHCIG,NO
BGGEGJ,NO
FCAEEJGDED,NO
FHDGIHDBJADDJEF,NO
ICDAHJCFDCEJCGCHD,NO
IIGHJIFFDFGFGBFHGJD,NO
JFEFADBBDDGGDBEIDA,NO
EBHDIDICGDGCFAII,NO
GEFFBIBJIIEGCF,NO
BHIFID,NO
EJJIDHGHIHHEE,NO
GCHBBCIBCCGJFBBCH,NO
JICGID,NO
FBGFCECJIF,NO
IAEGJHGF,NO
AIGGFHIIEBIBDHEBECJ,NO
IFEIGBEIIGAJIIFBJ,NO
JHGHAAHCGFBCE,NO
AHHCEGDIH,NO
DIGFBJ,NO
HHDDHBABFIBEIFJ,NO
HHFBJACJCIJDCAEIHA,NO
DDIDEDGE,NO
JIEHJEAJEDHBCHABIEHH,NO
HBGECDHFDBC,NO
AFACICFBIHFIEBF,NO
ECAAFIJEJCDEA,NO
GHGHADHCFEGJFJ,STEAL
AJIEIFFEDGFFCABCHED,NO
CCBHAAABHHEDEJI,NO
JBJGAHEBCI,NO
FBGFGBEDEDEDGCEGA,NO
BAIEGEFEIEEEBEG,NO
EAGFIICJGEAEGIFA,NO
AEGFIABBA,NO
JJFBFFCJBHJFGHIGF,NO
ECDDJHBDHHIDI,NO
DFHGFGIHDECABBC,NO
IGBGIIG,NO
DDFFHCHBAAGIDCEA,NO
IEBDAFCCBJ,NO
BHCFCEJHIDDAGJFBIIE,NO
EFIFAJEHCFAD,NO
EAADHHEBEEFIDHFGDCED,NO
AAEDFIAJGA,NO
CBAIFBBHHJDCAF,NO
ADFDHAEECCFGC,NO
IJJIGHHIIAABEIFFDJ,NO
DGIJDJADEDGEJIA,NO
GGHJEIGBIGDAHD,NO
GCAGBHBDGG,NO
DFFIAIIBE,NO
GGDDCG,NO
FBHGJAJ,NO
FGEHAJBCFHH,NO
CCBBDHE,NO
IEFGGDFHJ,NO
CICBGBGFJEJEA,NO
JBIDEHEAJFDCJDCCBJCA,NO
FFFADDGJAHECAHJJB,NO
GFDIHFDGGGCFECHAFAJ,NO
IEAFEDHC,NO
EIHBBEG,NO
DCDIID,NO
CCHDFDDJBFADG,NO
CAECEBCADCDHF,NO
BGBBEBDBGCAI,NO
BDIFDGC,NO
DCFBBDEIEJEJFEHJJGB,NO
IHJFFABF,NO
JJHFIAIFCCBEF,NO
IGIJICDFGDIJ,NO
HHEGFBGEGBIC,NO
GHGBJFGHHHADHADDEE,STEAL
AGCEEA,NO
EEDGHCG,NO
EAACACJIEI,NO
EHACJECCBFCJIED,NO
GIJHEIJGF,NO
DFGGCIGBBEIJDBCIJHCG,NO
EIAEJDGHEABJB,NO
FFBIHBJJEEIHJJCEGE,NO
HJHCCEJIGCHDFGFFC,NO
BHBBDEHAHHJHABH,NO
EJGEJGGB,NO
BHHEGJHHI,NO
JIDEEEJBHGHBIA,NO
AJDDCHDCAFDJHCEFFJ,NO
HCEAGHIAH,NO
IHGEJJG,NO
JAIJDIIEAFFBCE,NO
GDJBDIHEHDHHHGHAGJD,NO
CHHHJIDBJGFBA,NO
HAEGEFHJG,NO
FFBJECDICIECIJAI,NO
AGBHDCHGA,NO
IGDFAJFFHDGJ,NO
AHGFEEAGJGC,NO
HDJEAJ,NO
CGAHCFHDG,NO
CHAFACD,NO
BDCHFCFFBGBIHFI,NO
DDDIHB,NO
AIIGHIABCIJ,NO
AIABHADAFCHICH,STEAL
JACGEICJCCFC,NO
FCJFFG,NO
JHADBHFGGFJFJD,STEAL
JGFCIDDIBIHJHJD,NO
IIGHACIGGBDDJAHJDHE,NO
DBIBDJFCJGBIGFDDGGGD,NO
GBECCGAIJHDJCDG,NO
DCADIDHHJACBG,NO
AGDJJJCDFGCBGBABFH,NO
BGDGDCGGFGHBFEGE,NO
HGBGBEFFFCA,NO
HDHBFEIBDBFGIDBEC,NO
EFJEGBEEACCJFHHF,NO
FFBHEFCICF,NO
FIEBFGGFCADICJGD,NO
GDIFHBBIID,NO
JEDHCECEIFEJFBGJAJ,NO
IAGFHFGGCACFF,NO
FHCHDEJFJJFC,NO
EBBFFDCDIEC,NO
EDGAAEHFGCCBDBCEE,NO
CCFFCFDJAHGJB,NO
HEGAAJAGHAAIBCCAJDJA,NO
JCEDBGIGEFG,NO
HGHDADHHBBFEA,NO
DGFHJEHDACAHE,NO
AFHCGGDDGDEFGEGCEHAC,NO
AIHJEECFJ,NO
DEJCIGEBCA,NO
DDIGIAICJIGAIEIJJ,NO
HFDAJH,NO
AFBHIHD,NO
BCACJFBGGHGJAIC,NO
DHFGBCACBI,NO
FIGIHCCCGCJIEJC,NO
HIBAFEC,NO
AEABIFBBGHGJ,NO
IBGIJBCH,NO
BJCBICEIEGEFDBGF,NO
ECFHAAF,NO
BAHEBBJBDGJBBEAA,NO
FEGFIJEJHIJDJCG,NO
JCJCFDCDFEAFADIJJ,NO
IBCDFGJIC,NO
CGACIJA,NO
FDHHDAABDAIGEAIIAA,NO
FDCBBCCDHEGFCG,NO
EGAJJBHGCCFC,NO
EBGCDGG,NO
BGGBJF,NO
CHAIDHAI,NO
HEDDFJ,NO
BHGIHDDECHIHEEHIGAD,NO
BCAJGD,NO
CFCFGHGFCJ,NO
JADEIEI,NO
IAGGIHFAFFDBFC,NO
BCBEGCFFACFBHCHJJ,NO
IDCFDJDBECHIH,NO
GAEHDAECCDFDABCD,NO
BEDBJAJHAGEJJHHEED,NO
HHFECDFH,NO
HBADGDCBIBFAGEABBD,NO
GIGGJAGHBAEACBHEJGI,NO
CJEDIAIBBIHECF,NO
FEAAICBHDAG,NO
CAFJIHEJCEGA,NO
GDBGEEABEHFGHC,NO
IGFAAC,NO
HIGEIBHEAHFJDFDCIGCC,NO
CBDAFIFAFEEF,NO
GGADGCB,NO
HGFICCHFGGJDFHJG,NO
AICEGFHGFJEHHAFJHIB,NO
GFJAFAJEF,NO
GJBGIGFJAGBDHGJEC,NO
CIFEGIAFAHHJ,NO
FHJABFACDABCBBHG,NO
AGFGCCFFGHIFHJHBHF,NO
EIIJBBAAJADGIJJJ,NO
HFHIFGIBCCH,NO
AFHJAIGBFFBCIF,NO
GEDAHCJECACDAFH,NO
AHCHHJADHCBDJEGIDBA,NO
FBCIEDBCFF,NO
BCBJGEIGCEJEJEGDDDB,NO
EGFAEGEGEGJ,NO
GFCGBGCI,NO
GHIAACDGJAGGGG,NO
HBJEGIH,NO
GJADIIHHDACHAHJFAFH,NO
HGJGFAGADBEGAI,NO
HGEAEBCCGAIEEEFJFCH,NO
DAEAGHEB,NO
DGGBJBBEE,NO
AACCJAJIFECF,NO
GHAACHBGAHHCCICAHJ,NO
FBHFICA,NO
GBBEHEEJFJAHCAE,NO
EBGGGGGBFDHDGGEBEGAH,NO
CHDBECIJHGFHACEEHFDJ,NO
HIEFBGBHEIJJGFAIHC,NO
ICJAAG,NO
IJICDGCABEJAJJC,NO
EEIGCFGGABFCBEEBED,NO
HBAFEHGAHGABDED,NO
ACBIEJJBCGF,NO
CIIEJGBEFD,NO
JCHFGJAEFFFFJHC,NO
FIEAFFGBJEIFJ,NO
JGEDAEBJDBBDEAB,NO
FEAEFCIAEI,NO
DAEBHCJIBEDAIGI,NO
DJFBJEI,NO
CEFCAFCDBAJAD,NO
CCGGGIGBI,NO
FAGEEEGAHEDHJHC,NO
JCAJHBAGJAF,NO
IJHGIGFIFFCGB,NO
JHCGDGEF,NO
CEDJIJIFEBGCD,NO
AIGGHGFBBCCDCAHAF,NO
CADAGBCJFFEIBHAA,NO
HFAHDHAIFHFED,NO
HJEAGFBEJFEGGFDI,NO
AABAECFCBJHC,NO
AACACAAJICJB,NO
DEHGAAAJ,NO
ABBFHBIB,NO
CJEEGBBIBEBAI,NO
DJEJGCBBFAFFBCI,NO
AHDFDE,NO
BIFEDICHJABI,NO
IGGJDBDEG,NO
EBBAAEHFHCDBGHCHIA,NO
JHICJFFGCBJAJGFH,NO
AHHGEGJJ,NO
FCJIACHIFECI,NO
CFCDHJF,NO
FEGEAEGHHB,NO
HABIHEJIEDFG,NO
EFFFBDA,NO
EFHGDHFDFDFBH,NO
FHGEFEGC,NO
HJFGJHEBDEFHBAEGIE,NO
DFIGADEFJCGEDE,NO
GIIHFCDEHAG,NO
CHECIECGD,NO
FCECDA,NO
CJHBBFEEBD,NO
GDIDIIICJGDHDEGJGBD,NO
IHDFGGCJHE,NO
ADACICAEHEIIHBI,NO
CEGHIBBAFCII,NO
EFDGEGBIJFDCIBFIH,NO
BHAEBIICHFEICBFI,NO
JGEAEDHGHDFJIBEHJCJE,NO
FGDDHCF,NO
BHJIEFJEAIHJFCEI,NO
AEDEFBBDCIHJJBIGB,NO
HFJEIHCIFIEIEEDDJ,NO
EBDHDII,NO
FCDAJJEFCFGI,NO
ECGEIEDHJF,NO
HAAJFCIEHFHCGGJICGA,NO
BCHADEBJBA,STEAL
GJCBCFEIHB,NO
HFFDDGFHACIFD,NO
DAHBJGBDDDFIFAJGBJE,NO
JGJIIGACCHGHCGADGFC,NO
ICBJHDJGFG,NO
EGECHCDJEGAIJGFB,NO
CCGHJJHGDD,NO
BCDJHFHBACDAEAAFJ,NO
EBHEHJFIGH,NO
BCIBABGDHADI,STEAL
IDDFIBAJIFJADFEI,NO
