STRING,OUTCOME
ABGCHEFGF,NO
CIEBCGHJCF,NO
BGEIDGDFFAAB,NO
EDIGJJEAGEBFDG,NO
FGHEAHI,NO
JAGJCDJDFAIG,NO
IGFDEFFEJG,NO
DHFJAFC,NO
AHJHHBG,NO
HFFAAJHIBAIDF,NO
GEEGHIJGHAIE,NO
IEEHAHFDIHIFCEGGCF,NO
FHGAIJHIEDDFA,NO
CIFBHHHGAHCAHJCJHG,NO
HFEAEJFEGGDACF,NO
HFAIGGBG,NO
AFIEBCACBCDI,NO
EGAEEGJGFBECGIEEI,NO
HCJFBAADBGIJ,NO
DCJFJCCFICDHGGE,NO
AHAHDDBHEA,NO
EEBCJFIHBCCCGGI,NO
JCIBCJC,NO
FBEBAABAF,NO
CABCHDBIEECDG,NO
AIAJAEHJDFJCFDF,NO
BAHFDCFAHAIFDHJBGJA,NO
IJEJEJIHHFJDIH,NO
HIIEHDHJB,NO
CIGIJDFCEBCCDDJ,NO
BGBCAFFAH,NO
EEIIGAHIDAJHAE,NO
HEEIAI,NO
CIGIEJJDIHAJAHFD,NO
BAFCJIBEA,NO
CJHIDEJFJEBJ,NO
FHHIGF,NO
DDHDCEEAHAJ,NO
AHJFDABCICB,NO
BAHCFFI,NO
IGFDBDEB,NO
BGFCEBHAJIJAI,NO
FJIGHEFDDBFJG,NO
GJIFFAEE,NO
BEGHGIDAADIFIJH,NO
GGDFACDFHG,NO
BIDGFCGIHGBEGJIGEABB,NO
BAEDIFBDFFIGHIHCJC,NO
FCICBHFGGIDBAF,NO
BGGJDDCEJJBHHDHC,NO
EDBDIAEGDCCFFGFDGC,NO
HGFIJBIBEAB,NO
JBDAJCFIGDDJIIBDGG,NO
EDJHBB,NO
JIFEFAADF,NO
ECHGAJ,NO
FEGIFIBEGIFJI,NO
JHFBEGIHDDGEAADFEHB,NO
DCIIEBIEGJHDFEE,NO
GGIDICHBBIA,NO
CJDDCDFCII,NO
EIBBBCG,NO
GCJIHCIAJHIIFHFDEIF,NO
JEJGFFG,NO
CAAGJIDFDIBIEDAHG,NO
BAFIFGIDAGBCABH,NO
ADCJACCGIJHFJCH,NO
GCICAEGHBIJIE,NO
HEGFFJB,NO
FAFDDGEDFBGGBJHFC,NO
DHADAFHCHBF,STEAL
GDGIFEJC,NO
IBIDBBHGEIDEEIAFF,NO
BFJHBDAGJGFDJJAHJ,NO
HADDEBBHEIHHJIJJBH,STEAL
AJEDFHFIACHJEHE,NO
AGIHGGHJIJCIFCBE,NO
FCBFAJHC,NO
HJDHEHFGBADHJEDBHCC,NO
HFJHFGDFG,NO
BFCHAIEJDHABJGDABDI,NO
FBDFJCAJIAHIJFDCF,NO
HAAFGDCEJFFBBJFB,NO
IFJHGFHCICBFDCDCJHB,NO
GAEHFECEHHDAACFEH,NO
FFDCJJJIHBGIHADF,STEAL
BCBICDDAGI,NO
FIEEIBGCACBAGIICDDC,NO
CJJIBEECHIEAIBDIFA,NO
BBHCGBFCJCFEFDIHEFJC,NO
GFEIHBICAH,NO
JIEFEGHJBEHHBE,NO
GJIAADEGD,NO
ABCGEDFEBBDHIEJAFAEI,NO
BCAADDHEBEHJCEIDHBHD,NO
EGDBIBDGGGHACBIE,NO
EFIGIEDCHAHBCIIEFH,NO
JADBCBJEFBDJ,NO
AADHCBBFJBEB,NO
JAFBDGBH,NO
CFIDIGJBB,NO
JFADHAI,NO
CJBJFIEEHDCCHIIG,NO
BEABIBGAGEDDGFH,NO
CJJHBHAIEHHGIH,NO
EEHJJF,NO
AIIDHIICEFIF,NO
BJCDCG,NO
JBBCJIJFCFF,NO
HFEAFG,NO
GEAAGBAABHJDEFH,NO
JGGFGIGIFAGBBHIH,NO
ICDDFCGCFADDAHJI,NO
JCBABEDCIJJEEBD,NO
HBABJGCCHHBJ,NO
AGIJCDAEJDJDCJFEGF,NO
ADBEDICCHCFADCFF,NO
EJBIBEHCDAIG,NO
HBAIHCAHDE,NO
BDEEGE,NO
JIHIDEAAHBIJJBACGEAA,NO
CFJEJIF,NO
FBADAGDFGAIB,NO
FJCFGE,NO
ACFHHEEAEHBJJEFCAAHH,NO
JJGJGHCCJHFEFJADCDHE,NO
IJDAEGAFHJHBH,NO
EFJDFGJABCCJHEDBB,NO
EJGBEFBHJDFIBCHIDDDB,NO
JEGAGAGBGFAJCFF,NO
CEHAGCBFDGBHB,NO
JDCBGBHEBC,NO
ACCHGCAHEA,NO
CDHCBFGFCFEG,NO
GBFDFBBCIEGHHHE,NO
ECIGBHBIEGFJHCDGE,NO
FAAFECECAHGIFG,NO
EDBBGGDJCBDGCAA,NO
BECHJGGJDICGF,NO
HGJBDJJFHBB,NO
CAGIDG,NO
AGCBHDEJ,NO
CEEBCBFAEIGAA,NO
BDEJGEJEEHIGFCJCBGEJ,NO
IIDCGFBBGEGHBIHIF,NO
ADIAFAJGJIDADJBGEGB,NO
BJDGGAEFFIFDDH,NO
JIBCFEFIJHD,NO
BDHEICCA,NO
BFFCFFAI,NO
HHACAHGGDCDEHIEIGD,NO
JFGHIJ,NO
IECIBJJDH,NO
GHCDEFHJDBFAGEBG,NO
HBGIJHABFI,NO
FFBEGAD,NO
EEGBDDJIHGEIE,NO
HJDJJFFFICGBB,NO
BEIDIJ,NO
HHEIHH,NO
CHFAABB,NO
AIAGEBBJFAIEIGH,NO
ACFBHBCDDHBBIJJ,NO
IDIIAFFGDIAE,NO
FGAGEGIJAAI,NO
FAGBHDIBEGGFED,NO
BEFECFG,NO
IDIDFDI,NO
IHEBEJAAGDF,NO
IFDAAECIJH,NO
HIEFCAEIDJ,NO
CBJGBIADICAJEBFICFIH,NO
CDEFGAIDFBBDAHCIHJF,NO
CBCFEC,NO
DEJIHAE,NO
CEBHHGACFG,NO
HGJJCABBHIHI,NO
JGIHDAFAGDBIGAAGBHI,NO
JIFFGDBCDDCCAIIEEA,NO
JCBEGDE,NO
IIBAFADH,NO
CEBEDIGFGIJFF,NO
IHGGDHBHFGJBHFJEHJ,NO
GIHGAEFFAFAHAD,STEAL
JCFBJHHIAJFCAEB,NO
JGCCACDJAC,NO
EDABJAEJ,NO
FGDFGA,NO
GCCGED,NO
AGJEEBHJCDDGCC,NO
ADAGIDHGJDHAJJFF,NO
IHCBICF,NO
DIEHEFCHE,NO
CBHBFE,NO
FDJFIJJEGAEABFEJA,NO
BACGGAI,NO
GCDEDDIGCBFE,NO
ECBDDJDHGEHAC,NO
HIHDGIAA,NO
GAGAAFJDBC,NO
CDFIDGDHFCCCADEHEEC,NO
GCCJCJHACJECEJD,NO
IACEJHFDABDBAFEJHJG,NO
EDAEJFFJHEBIFGHDJH,NO
CHHGIABDHHAJHBJI,NO
CIFFFIDA,NO
GFHDJJGA,NO
DGJDJBAB,NO
JDGECGABIFEDIFCG,NO
GHCHHFIEIG,NO
HADEDDBB,STEAL
GJJDFFEB,NO
EFDEFAHFBFBGEJEBJ,NO
IJHBDAIA,NO
EEIJEBJIHCCC,NO
JBIEFJEADIBD,NO
CGGCIFAADCBJFF,NO
GGAGFGABH,NO
DDEAEGJCBJHCEGCFJHHJ,NO
DICBGFHCBEGDJHCACAJ,NO
AFJDHACEEBCGBECJ,NO
JHIGGFADA,NO
EEDJAEACFFDHFB,NO
IAGHFEFIEJGIAEGCI,NO
DFCIJCJJFEDGDCGEBA,NO
GFGJEHHHIJBCFGIEE,NO
GCDFAIHDAI,NO
IFDGDEEADIA,NO
EJHGAAAIJA,NO
BIFDEE,NO
IIHDCDEGCIIBJG,NO
EBFGHHBJCI,NO
DJFJJCGBFFDHCCA,NO
GFBIBIACDFJCA,NO
JCHCAECIBEIHEFCJD,NO
AFJJFBCJHDFGBIAFG,NO
CHGIJBCC,NO
JFGEEBADHBJHFCHJDC,NO
DEJGGIEDDE,NO
JABGGEIA,NO
DEFIGIFHAB,NO
BJDFIHJAEFHIEJJFHC,NO
IADBHGGGICHCGG,NO
IBHDHADFDA,STEAL
DBHHBAHCJA,NO
CBDFHHIFGGCJFDAGEHB,NO
AACHECBBCB,NO
JEJAFJJIHADE,STEAL
CAAAHJEBHFHJHH,NO
JBAAFIIA,NO
BCAGGEDFCCD,NO
AGAEJIAJIFIAJCIE,NO
AJIFADBFGBGGGACDFIHC,NO
EJFIHDBCJJB,NO
DDIBJJHICEJEBBHDHG,NO
CHDGJJCIJBEAC,NO
GJGIDGIGFEFEIJDCCJAI,NO
GIBABHBBHJGHGF,NO
ECHJIIGCAAGBAAEJHGIJ,NO
BBEHFH,NO
HBADAJAGEFAHI,NO
IEBIFCEH,NO
BGIDCEFHEJBAABGHH,NO
FDFFFGCBHIF,NO
FEJDBDBJCEICHJBFIIBH,NO
EGJCAAHB,NO
EBCEEEEFCAGBFGJICBJA,NO
FFGFDGBD,NO
EEEFBJ,NO
IEIJGJAEICGFCBFDC,NO
FGDGIDABG,NO
FCBCFDFDGACHECFJAFC,NO
EACAAGDJJACHBEBEG,NO
GEDHBFFCAGJCDEBD,NO
CIJECJGCFDHDJBIFABE,NO
DJABAGGCDHBC,NO
BFCBCBFECDAIJ,NO
CDDGCHDBBBIC,NO
FCFDDFAHFHBIAIBHJCDH,NO
DAFCCHCJGECBECFIBGBE,NO
HHBGJDBBICHDDGDAD,NO
FEJFEBHCDD,NO
IAHBEDJJEHEDC,NO
EGDFBHDHBIHDCA,NO
CHCGECBDBGHF,NO
JJBHJFJDDE,NO
JDIGEF,NO
AJFHEFEBCEA,NO
GJJACIGFHEBBBEE,NO
CIICIACGCJAFJGBJDA,NO
BBCCAAHEGDJBFA,NO
HJJCCAFIEGBHH,NO
FAEJDECFGC,NO
BDBCIHGJJJJIAB,NO
FJCFJGAIFJECFGIFA,NO
DIGDAFHFEGBJGIABBBD,NO
AGEDAIACGJ,NO
EBIBAJIADI,NO
EFHFFCA,NO
FAFHFF,NO
HAICHECHC,NO
ECCFEGJBBG,NO
HIBHCEFD,NO
IJFGEAJACAJIDCJ,NO
ABEDEIAIGCDAIIGAH,NO
EDHIIDAEDCJABFHAABH,NO
EACAGFGFJHFFGEHDFF,NO
HGGDJJBCJDAJ,NO
CIBGHHEIJ,NO
EJIGJIIGBAFDAFDHIHEA,NO
EBDHEGGCHDIFIEBD,NO
HAFAGBJJIAEEDDED,NO
IFEHDBFDHDCHB,NO
DIJCCJBBJCCD,NO
CEGGBAEJCAHDGIAD,NO
HBAJHDFCAGC,NO
CHDCDAAEBJI,NO
CAIHEGEF,NO
FFGAHCJFADBGABII,NO
HBCIEFBAEGCEEJJH,NO
HFGCEEDIGIDGDEFFEAB,NO
FAADFFDHGHGAHAEFFA,NO
DBIAGHFEC,NO
CJCFBFDBBEHCGAIJDGFJ,NO
AFCJEIJGJA,NO
FCADGEDIHEACCAACG,NO
DCJEJIHDBCG,NO
FECEIBHAGECEIFAJAF,NO
FFFHGFJJGDIJ,NO
IHCCFCHGA,NO
CDEFJAC,NO
EFADAHFI,NO
GIHGIJIHIDHH,NO
EAADGFGHGJJ,NO
EBBBJIHCGC,NO
GHJCADAHHECHDBFC,NO
GJBDDDJBDBHCGHCF,NO
IFJCCAGJADGCFBBEFC,NO
FIAGEF,NO
HHJBEH,NO
DBFHJFHAFBBDGAAFH,NO
DGECCHCACDAGBADI,NO
CDIJFCAFEJC,NO
JGAFJFCGIGGJ,NO
AGCADAIGBDICA,NO
IHHAHFJCGBFDBH,NO
EJGIBAJCFHJHCBIDD,NO
DHEBGECHBIEICEG,NO
CDCIEAFEIBDFCHHAFEE,NO
GICEAIFI,NO
JBFIIAGDCDBGAEGJIHB,NO
EDJBGIJIHAB,NO
DEEDHCA,NO
AGAEGCCEABDJFJIC,NO
HBGDCFBBEBJAFEJGHC,NO
IFHJCDBEGFFIAJB,NO
EIGGHICIFAJDE,NO
IBIJIBHBDD,NO
GDJGBJEDJ,NO
JHGEGCEG,NO
EIFBAFE,NO
FFCIEIHCDACHEIB,NO
DDAJAIHBCIDJCGJA,NO
BGDCGFAHDCJ,NO
JCBFCGDIHFHEABD,NO
DDABJGIFCDABEC,NO
HGFDCFC,NO
GAAJADGEFF,NO
IEBJCBDCDIDAG,NO
DGGHGEGIABIE,NO
EJCAIJD,NO
JFFDEBEFB,NO
AGIDGFJAIFCF,NO
DBCIJHCAEEFCBG,NO
BADJFBCIJIDBJI,NO
HCBEBBFB,NO
BJFJBBCADGICJIDJGA,NO
JFJFHABGEIFBC,NO
DGBDEJDGIH,NO
ECJHBIIGBCI,NO
IEJEFEFEFG,NO
EGFGEGIABDB,NO
FEGCDHAIIBCE,NO
CECHJBFADAFBH,NO
DDDCBDBEGC,NO
EICEIABHIH,NO
AGBGGCDEJJHBBCEBIF,NO
FFEBFBEDCFCGHBCIHB,NO
BIFCJIAJBJEA,NO
HJGFDI,NO
AFHFBDCIJ,NO
CGGCCBBJFCGCJCIIF,NO
GFBDBCJAGCIDIA,NO
IFIBFBCCJEIJEHD,NO
EBDJIECEEDCIJDBJEI,NO
IJECJADDJAJEGJH,NO
EHFJBFD,NO
CJJJHHCHEIFFHHBIFEBH,NO
AHHABDEEEBCGJCJHBIJC,NO
GFAHJDHHICEIFDFJ,NO
GBJIFCDADBHBAFHDIDC,NO
HCGBEEF,NO
ADECICBAGFCHADEEJFF,STEAL
JACAJBAEEGCHIBHH,NO
DBIDCADCCI,NO
BDIIICHHFJE,NO
ABFJBGIJF,NO
AEEAFDBAGAAJDIIH,NO
EIBBDDHBII,NO
BIGGFJCJAFFDECDGEDAH,NO
HEEDJEJJIG,NO
IDCDJHICFHEAIEF,NO
GIDAEIJBJCEEJJFHB,NO
DCHDIAABBDGE,NO
BFDDGDEE,NO
BACBEEFFDJGJCFJCBJFE,NO
EGEHIJJHGEDAAGHJHIH,NO
JGCGCIJBIEDDFGJD,NO
HAEIHACCCHHIBCJHFIGI,NO
ABGEBEIFDGGEBJFFCGH,NO
BBBEJEFH,NO
IAEDBI,NO
FACCFBEIFJFEFHCJI,NO
CIIIBJIHCB,NO
IHAEFCCIBGFBHFFFIJCG,NO
BGJAGEAEJEJ,NO
BCJFJABGI,NO
AHGIHFIAACGB,NO
BIAIADHBBAEHIED,NO
BFJBCIBEFHJ,NO
ABBFEII,NO
AHIHDIGDIAHJJI,NO
FEJAFCBAIJACFIFC,NO
EIAJACHG,NO
FECBJAI,NO
BJAHFBFDCHHB,NO
HIBIJE,NO
JEAAEHGH,NO
JFAAABIJCADF,NO
AEDCBCBHAACJFAHAAAFJ,NO
DDDJFIJ,NO
IDBEJEEEHGCGJDHIJA,NO
HJHGFI,NO
IHHJDJJDFAJDABIDHHHF,NO
IDBEBCAGCBBJCBAGGC,NO
IHJCDIGEGGIJAECJD,NO
GCGFFBCEEFFB,NO
DGGICFEDGG,NO
CJJHJFBJ,NO
DHFBCJCCBFFHIC,NO
JDBIBBGCIHIG,NO
FBFFCH,NO
ECDAGFHJJAIAJCD,NO
CJFBGHIEBFIHGC,NO
GGFGGEA,NO
HBBEADJBAEACJI,NO
GDEJIHJHHDA,NO
GBGGEGCIFJBHDCHEDHCB,NO
FEHHCHGIIACBGFBH,NO
FAFBEJABBFIG,NO
EICCFCBDGAAFJGHEJBGI,NO
BEFFIDIEDD,NO
DJCHGBADHHBCEICB,NO
DCCJEGFJBHEHG,NO
HIFJJBG,NO
AECIBBHDEHBDEHHHFD,NO
JCEAFAGIHIIBAFJHJAFI,NO
GFDEGCCJBGFAFCDHGAAF,NO
IBDAHGAIEACJDA,NO
BACGFCGJCHABGEDGH,NO
HGGEEJCHFJJEJDGGBGC,NO
HEJFGDEAGGEDF,NO
CHAEJJ,NO
HCBAIHABEBBA,NO
HEABGBCD,NO
DJGHGJEG,NO
BBEEDIECHAAIFAGHE,NO
IFHAJHC,NO
BJDEDBHIIHFFHEGD,NO
BEDDCCF,NO
BBAHDDEBIBAG,NO
FDCDEIHG,NO
IGAHADCBBBGJJG,STEAL
BIEFBD,NO
EADHDHIHEDBJEGFJII,NO
FGIJEJ,NO
AGIDHFBABDJCIDEFE,NO
CFHIICD,NO
CBFEGBBDFADF,NO
AGGEGCBBAGJEFI,NO
IDDGCDI,NO
JDHCCJEBFGIHBFIED,NO
EDAEDDEJCABGD,NO
BBJIDAHIEAHGGGH,NO
JECJHHDCDJJ,NO
EAIFGJEJAAJEIBCJFCHC,NO
CEAAJHEHJ,NO
ACFAIHIJJJBIAHGB,NO
CEBDACBCCEBC,NO
FAAADIDGGCCFJB,NO
CFCDJAD,NO
EGEBBDIBFHBACEGF,NO
DDDIDFIGFHBEAEAHDDH,NO
HJAEAFJHBEEEGJHGFAF,NO
IHCFDADE,NO
IGAGIDCCEDEGHAF,NO
GCIAHF,NO
HGIBEGADHBJG,NO
HJBBDDDHFIDECCHED,NO
CBAGAFBJBFHDCJFCGFFB,NO
IBCEFJCHGCAHFIECFEI,NO
IDEGHEIEIBGD,NO
FFDJBCJEHCGAIEDF,NO
IJJGCAEF,NO
AFCACGJIACA,NO
JDIBCJFJAIG,NO
FJHEBAEDBG,NO
CBIFHGIAFDFEIEF,NO
BGJJGACCFJHDHJCFAH,NO
DHBGHFGGBDCGAHECBBE,NO
JDJAJJB,NO
EBEIADHIBJABEHCJH,NO
IDAEAIDJBCJCECECEEII,NO
IHJFHJBFFHGGJG,NO
EBJEFEEAG,NO
GBAGBDDICEAGBG,NO
HGGHHBJHJGFDHCJD,NO
FBAFHEEFCH,NO
CCAAHDCIEHJI,NO
EIDDIFJI,NO
EFGIIFIECCDCI,NO
JGJAHBJACDDJD,NO
IJCGEADBE,NO
IBHHCJF,NO
JAIEFJ,NO
CEDFGBEAGCGCEJDCIG,NO
GCGJIJJGDBCDCEEHF,NO
GGHJHCFJHJE,NO
CHDIIDGHAJDF,NO
FEFGFAGEJEIEAACAB,NO
DBGEEABEDFIDBHHJ,NO
IAAJEJCIIHBE,NO
HADABIFGEEF,STEAL
DFBACEFICGAIBJE,NO
IFIFGBCIBACGDI,NO
BHIIEJ,NO
GDJCFBJHE,NO
EDHBADBDEADJCACBHGAI,NO
